0,0.891333,3,"0.578637555273,0.544151656387,0.724320432452"
1,0.925667,3,"0.662127705234,0.646292682017,0.834761418943"
2,0.915667,3,"0.690551375729,0.689935769371,0.807439399963"
3,0.896333,3,"0.730056137183,0.781392305741,1.01120041224"
4,0.912667,3,"0.768798415932,0.831713843457,0.942157275811"
5,0.936667,3,"0.922310738233,0.842861650184,1.23440668379"
6,0.948333,3,"0.901565286313,0.863340088907,1.05258167234"
7,0.910667,3,"0.974245734733,1.12293461185,1.10258613916"
8,0.936667,3,"1.27172840617,1.13161470252,1.47572876049"
9,0.950333,3,"1.2186001089,1.20264387163,1.42384413025"
10,0.949667,3,"1.29536248363,1.42842559798,1.30979244278"
11,0.938333,3,"1.38970801521,1.21272870405,1.4899861628"
12,0.933667,3,"1.48489855749,1.3570384152,1.33338963653"
13,0.948,3,"1.54551206453,1.44495733675,1.68874845842"
14,0.946667,3,"1.67040171252,1.46491492783,1.99947548504"
15,0.949,3,"1.89278611694,1.55531005874,1.90386731614"
16,0.948667,3,"1.82365000036,2.00001834804,1.62191688946"
17,0.939,3,"1.86848593925,1.71971737842,1.73183921279"
18,0.945,3,"1.99488429807,1.92779833056,1.95128672916"
19,0.95,3,"1.86928370388,1.88511684824,2.09230094346"
20,0.95,3,"2.09734591732,1.82177196704,2.15645846913"
21,0.951,3,"2.55764666821,2.17509423535,2.17673844609"
22,0.946,3,"2.24961809692,2.16068305937,2.42294617808"
23,0.935,3,"2.1923568036,1.90097488996,2.38206386009"
24,0.941667,3,"2.23973421431,2.36582107611,2.67873585938"
25,0.945333,3,"2.53854876775,2.67308280169,2.36603042406"
26,0.944667,3,"2.60176640563,2.39446984017,2.48694568353"
27,0.952333,3,"2.52001934833,2.52786095879,2.71019434914"
28,0.950667,3,"2.81599265083,2.41935517122,2.6881192092"
29,0.948667,3,"2.63611006579,2.60012768463,3.14823692118"
30,0.949667,3,"2.90838467478,2.91799779002,2.80717014719"
31,0.950667,3,"2.98353877968,3.01384025684,3.05988965703"
32,0.927667,3,"3.00808526264,2.8392801454,3.41471245448"
33,0.919667,3,"2.68224788373,2.83814681236,3.43163733126"
34,0.956,3,"2.74685469738,3.33045715987,3.47309977993"
35,0.944667,3,"3.36642668248,3.25909673879,3.51709431665"
36,0.950667,3,"2.86859304854,3.57086817404,3.25591701105"
37,0.913667,3,"3.48197764567,3.38276102108,3.2450273306"
38,0.930667,3,"3.3356242004,3.43775471273,3.79397160696"
39,0.946333,3,"3.54900450494,3.96555384358,4.24516237351"
40,0.938667,3,"3.45440670671,3.49437372307,3.3746926515"
41,0.95,3,"3.74842372233,3.6460161262,3.65948978184"
42,0.934333,3,"4.68863535419,3.52655020969,3.59395407789"
43,0.671667,3,"3.77231527892,3.60895330041,3.62734217044"
44,0.951333,3,"4.76285430805,4.47949760831,4.42318496035"
45,0.940667,3,"3.47583690218,4.03779955421,3.88334938555"
46,0.948667,3,"3.95270351182,4.51363545344,3.94922089867"
47,0.925333,3,"4.1982495293,4.04907917495,4.50246247899"
48,0.956667,3,"3.68806410442,4.45468851615,4.33045004068"
49,0.954333,3,"4.42412734418,5.02897714587,4.9947232717"
50,0.919667,3,"4.66375748964,4.36727288462,4.99468014208"
51,0.947333,3,"4.40369569655,4.41370175753,4.57220463725"
52,0.857,3,"4.34180353123,4.43105652528,4.00746591026"
53,0.923667,3,"4.32792007656,4.93211334755,4.80563013587"
54,0.911,3,"4.82307832686,4.61440292935,4.64346488187"
55,0.945333,3,"5.03467112278,5.01679803978,5.30530486048"
56,0.952,3,"4.86429925411,4.99850344226,5.25879431129"
57,0.954667,3,"4.73729472796,4.59834121931,4.55290169881"
58,0.943,3,"5.02677795081,5.51430277029,4.47926354615"
59,0.882333,3,"5.10620844558,5.35427939039,5.28462279618"
60,0.895667,3,"5.64736375943,5.00129465678,5.7792717573"
61,0.951,3,"5.24921562492,5.67091213738,5.3583199359"
62,0.932667,3,"5.11688095903,4.8727496015,5.59554366303"
63,0.948,3,"4.99721135118,5.57398778976,4.97908137654"
64,0.921333,3,"5.31096955539,4.7480694339,4.73783968706"
65,0.855333,3,"5.96687921582,5.21225661661,5.2987079551"
66,0.821333,3,"6.09471542212,5.65314554615,5.7839350351"
67,0.875333,3,"6.38660506136,6.68834998791,5.88459192448"
68,0.952333,3,"6.74890558682,6.19289819869,6.33675844453"
69,0.937333,3,"6.10988373845,6.26337768606,6.14244626675"
70,0.917333,3,"5.82821192509,6.38546228529,5.72347010667"
71,0.815667,3,"5.63530012228,5.83550184676,6.44916475556"
72,0.85,3,"5.63489421121,5.91860767103,6.27749443081"
73,0.812,3,"6.31782105111,6.57385997861,6.46363933833"
74,0.716,3,"6.73067416642,6.49201435848,6.38797120237"
75,0.897,3,"6.18066209085,6.96701909608,6.6690875953"
76,0.750667,3,"6.52337023181,6.26294788042,6.01964507182"
77,0.789,3,"5.88703268731,6.8816441555,7.03772238191"
78,0.797333,3,"6.7200584722,7.15230786862,7.80124792483"
79,0.889333,3,"5.60843013237,6.93864204843,7.00381988097"
80,0.908,3,"6.82366938978,5.55330881046,6.65879860809"
81,0.939333,3,"6.41807616591,6.62002157192,7.20183744816"
82,0.907667,3,"8.01497755632,6.3129667426,7.11325235276"
83,0.901333,3,"7.36381792229,6.88806541579,7.48684162508"
84,0.823,3,"7.58335201106,6.76829933439,7.07639092544"
85,0.889,3,"7.57488020093,6.53769751671,6.93571394641"
86,0.946333,3,"8.02135962431,6.7562920852,7.91345369122"
87,0.873333,3,"7.42355741385,7.48177869434,6.67145393173"
88,0.687,3,"6.550594203,7.53693250875,8.07704478776"
89,0.925667,3,"7.59015277074,7.31853701468,7.51920930974"
90,0.589333,3,"8.03150280978,7.86374575032,7.82771776072"
91,0.651,3,"7.87221005913,9.23945038926,7.73183995059"
92,0.627,3,"7.28952575791,8.39393013128,7.15066865126"
